id,order_hour,day_of_week,restaurant_type,cuisine_type,distance_km,estimated_delivery_min,order_value_inr,num_items,is_peak_hour,weather_condition,traffic_density,delivery_partner_rating,delivery_partner_orders,restaurant_rating,restaurant_avg_prep_min,is_promo_order,area_type,is_late
14,3,sunday,cafe,indian,11.1,12,1125.0,15,false,clear,moderate,3.3,1552.0,3.7,20.8,false,market,late
15,7,friday,fast_food,dessert,12.1,78,1951.0,7,true,clear,moderate,5.0,1683.0,,5.0,false,residential,late
16,23,wednesday,casual_dining,indian,14.2,51,1810.0,14,false,hot,heavy,4.2,385.0,3.1,19.5,true,commercial,on_time
17,2,monday,cafe,chinese,,71,496.0,4,true,hot,heavy,4.0,4709.0,2.9,9.3,false,college_area,late
18,21,tuesday,fine_dining,healthy,4.2,67,2550.0,2,false,humid,gridlock,3.2,3037.0,3.4,29.5,false,market,late
19,20,tuesday,cloud_kitchen,italian,13.9,66,1478.0,1,false,clear,moderate,3.1,2267.0,3.5,21.6,false,college_area,on_time
20,1,wednesday,fine_dining,other,11.7,10,570.0,12,false,hot,moderate,4.2,4653.0,3.5,12.8,false,highway,on_time
21,23,sunday,cloud_kitchen,other,8.8,82,455.0,6,false,fog,moderate,2.4,,4.5,30.1,false,college_area,late
22,11,friday,cafe,chinese,10.6,69,2900.0,9,false,clear,heavy,4.2,390.0,4.2,26.6,false,highway,on_time
23,5,friday,fast_food,indian,13.9,78,916.0,10,true,humid,moderate,4.2,2919.0,4.0,19.6,false,residential,on_time
24,1,monday,cafe,pizza_burger,10.8,68,2735.0,5,false,heavy_rain,moderate,4.8,2114.0,3.8,9.5,false,commercial,late
25,20,sunday,cafe,south_indian,5.8,55,1290.0,12,true,humid,moderate,4.5,1143.0,3.4,13.6,false,market,on_time
26,0,saturday,cafe,indian,10.8,43,1219.0,2,false,humid,heavy,4.6,746.0,3.2,13.4,false,college_area,late
27,11,monday,casual_dining,pizza_burger,1.1,34,2132.0,1,true,clear,low,3.4,1731.0,3.0,29.5,false,residential,on_time
28,21,saturday,casual_dining,indian,6.1,51,128.0,3,true,heavy_rain,moderate,2.8,4123.0,3.3,5.2,false,highway,on_time
29,11,friday,casual_dining,healthy,6.4,38,1080.0,4,false,light_rain,low,,4386.0,3.7,21.5,false,residential,on_time
30,16,monday,casual_dining,indian,2.9,34,977.0,7,false,hot,gridlock,4.1,4124.0,3.0,19.5,false,market,on_time
31,9,thursday,fast_food,indian,0.8,63,2617.0,9,true,heavy_rain,low,4.5,3231.0,3.8,32.4,false,college_area,on_time
32,15,friday,cloud_kitchen,indian,2.4,82,1634.0,8,false,hot,heavy,4.8,3217.0,3.6,24.3,false,commercial,on_time
33,14,tuesday,fast_food,other,10.0,76,1157.0,9,false,clear,heavy,3.0,2515.0,3.5,27.4,false,college_area,on_time
34,14,sunday,fast_food,pizza_burger,12.1,24,871.0,7,true,hot,heavy,4.4,1770.0,4.4,16.7,false,market,on_time
35,18,sunday,casual_dining,dessert,14.8,13,1812.0,10,false,clear,heavy,2.2,108.0,2.2,9.7,true,residential,on_time
36,11,saturday,cafe,italian,5.5,47,539.0,8,false,clear,moderate,4.0,,3.5,18.7,true,residential,on_time
37,22,thursday,casual_dining,italian,9.2,29,813.0,8,true,hot,moderate,4.3,2487.0,,29.8,false,college_area,on_time
38,19,thursday,fast_food,chinese,14.1,32,951.0,1,false,clear,moderate,2.7,4299.0,3.8,29.7,false,commercial,late
39,2,saturday,cafe,south_indian,2.9,46,1863.0,12,false,clear,heavy,4.2,777.0,4.2,17.7,false,residential,on_time
40,4,friday,casual_dining,biryani,10.9,71,1182.0,14,false,clear,gridlock,3.1,1934.0,2.9,13.4,false,residential,on_time
41,18,monday,fine_dining,pizza_burger,11.4,17,1566.0,15,false,light_rain,gridlock,3.5,438.0,,11.4,false,commercial,on_time
42,6,friday,fine_dining,chinese,1.8,46,1986.0,12,true,clear,heavy,4.4,1035.0,2.7,20.6,false,college_area,on_time
43,20,saturday,casual_dining,other,13.0,54,2873.0,15,true,hot,gridlock,3.6,837.0,3.7,23.4,false,highway,late
44,8,thursday,casual_dining,indian,12.3,42,2318.0,9,false,hot,gridlock,3.6,4703.0,3.5,36.7,false,market,on_time
45,6,monday,cloud_kitchen,other,1.0,16,1275.0,2,false,clear,heavy,4.0,642.0,3.5,23.2,false,commercial,on_time
46,17,saturday,fast_food,indian,1.8,31,2270.0,12,true,light_rain,moderate,4.4,3175.0,3.5,28.1,false,college_area,late
47,3,tuesday,casual_dining,south_indian,1.2,14,2854.0,11,false,clear,moderate,3.8,1809.0,3.1,14.2,false,commercial,on_time
48,13,wednesday,casual_dining,italian,5.4,24,1548.0,14,false,fog,gridlock,4.9,3876.0,4.4,22.4,false,college_area,late
49,17,tuesday,fine_dining,south_indian,7.9,30,1290.0,7,true,light_rain,heavy,3.6,643.0,3.9,23.4,false,market,late
50,8,wednesday,fast_food,biryani,8.2,26,325.0,13,true,clear,heavy,4.7,703.0,3.0,20.6,false,residential,late
51,20,saturday,cafe,south_indian,4.4,65,2688.0,10,false,clear,low,4.2,2849.0,3.3,21.8,false,college_area,late
52,1,friday,cloud_kitchen,south_indian,13.7,59,814.0,10,false,clear,low,4.3,2918.0,3.2,23.3,false,college_area,on_time
53,19,tuesday,casual_dining,pizza_burger,5.8,16,285.0,13,false,hot,moderate,3.0,3613.0,4.5,26.8,false,highway,on_time
54,14,sunday,fast_food,pizza_burger,1.2,59,1657.0,5,false,clear,low,4.7,1723.0,4.1,33.7,true,market,on_time
55,6,sunday,fine_dining,dessert,4.9,69,2553.0,4,true,clear,gridlock,3.9,849.0,3.6,5.0,false,residential,late
56,11,sunday,casual_dining,chinese,8.2,16,1279.0,1,false,clear,moderate,,2555.0,4.7,33.1,false,highway,on_time
57,7,tuesday,cafe,biryani,6.4,49,2371.0,1,true,humid,heavy,4.0,1463.0,4.6,5.0,true,college_area,late
58,14,thursday,fast_food,biryani,4.5,54,2525.0,3,false,hot,low,3.8,3830.0,3.6,25.1,false,market,on_time
59,2,sunday,casual_dining,italian,2.4,68,1417.0,14,false,clear,low,3.4,3783.0,3.5,45.6,false,commercial,on_time
60,13,saturday,casual_dining,south_indian,12.4,84,1813.0,15,false,clear,moderate,3.8,511.0,3.5,21.6,true,market,late
61,16,monday,fast_food,chinese,14.9,64,1648.0,1,false,humid,gridlock,4.8,2157.0,3.1,23.8,false,residential,late
62,3,monday,fast_food,indian,5.3,73,2824.0,8,true,clear,heavy,4.3,2920.0,4.7,18.9,false,residential,on_time
63,17,thursday,cloud_kitchen,chinese,6.0,74,2204.0,3,false,humid,heavy,4.0,,3.1,28.7,false,commercial,on_time
64,7,sunday,fast_food,indian,9.5,63,,11,false,clear,gridlock,4.4,2951.0,4.2,25.6,false,residential,late
65,3,friday,fast_food,pizza_burger,10.9,49,737.0,10,true,clear,gridlock,3.5,3961.0,4.1,15.2,false,college_area,late
66,1,friday,casual_dining,pizza_burger,6.2,62,999.0,2,true,hot,moderate,3.4,1238.0,3.5,20.9,true,market,on_time
67,5,monday,cloud_kitchen,other,13.6,53,305.0,6,false,fog,moderate,3.4,1481.0,4.8,10.8,false,commercial,on_time
68,21,saturday,fast_food,pizza_burger,8.6,72,1549.0,4,false,humid,moderate,4.5,2466.0,2.8,20.8,false,residential,on_time
69,9,sunday,cafe,indian,7.0,11,2634.0,13,true,hot,low,4.6,2011.0,3.7,17.8,false,residential,on_time
70,3,thursday,fast_food,healthy,9.9,88,1047.0,13,true,light_rain,moderate,3.2,4758.0,3.4,23.4,false,residential,late
71,21,saturday,fast_food,healthy,14.3,30,471.0,14,false,fog,moderate,3.3,2736.0,4.3,14.9,true,market,late
72,17,sunday,fast_food,south_indian,12.0,59,298.0,11,true,hot,low,3.7,4200.0,3.9,19.9,false,market,on_time
73,11,tuesday,cloud_kitchen,biryani,1.1,90,1397.0,14,false,heavy_rain,gridlock,3.1,2760.0,,22.1,false,market,on_time
74,1,friday,fast_food,other,5.3,61,575.0,13,false,clear,heavy,4.0,578.0,4.4,22.8,true,market,late
75,9,wednesday,fast_food,biryani,7.3,18,1103.0,11,false,clear,moderate,4.8,3497.0,4.0,24.7,false,market,on_time
76,3,saturday,casual_dining,healthy,5.1,29,2478.0,13,false,clear,heavy,4.1,819.0,3.1,20.3,true,residential,on_time
77,13,friday,cloud_kitchen,indian,10.7,27,1213.0,4,false,hot,heavy,4.5,4175.0,3.5,14.1,true,college_area,on_time
78,15,saturday,fast_food,indian,12.5,39,1868.0,2,false,light_rain,moderate,2.9,1890.0,2.9,22.8,true,market,late
79,14,saturday,casual_dining,south_indian,11.1,74,1556.0,2,true,clear,heavy,3.4,559.0,3.6,20.2,false,college_area,on_time
80,7,thursday,fast_food,biryani,14.8,33,2183.0,11,true,hot,moderate,2.5,,3.8,32.2,false,highway,late
81,13,sunday,casual_dining,dessert,4.5,56,552.0,6,true,clear,low,3.8,1620.0,3.5,33.5,true,highway,late
82,22,friday,cafe,other,13.2,53,2769.0,5,false,heavy_rain,moderate,5.0,70.0,3.4,8.3,false,commercial,late
83,7,tuesday,cafe,italian,11.6,38,1966.0,9,false,humid,moderate,5.0,1190.0,2.7,28.2,true,residential,on_time
84,20,saturday,casual_dining,indian,5.8,86,885.0,4,true,light_rain,low,4.1,2903.0,3.9,30.2,false,commercial,on_time
85,15,saturday,casual_dining,dessert,11.1,77,457.0,5,false,clear,moderate,3.9,4341.0,2.5,8.5,true,market,on_time
86,12,wednesday,fast_food,biryani,2.0,26,533.0,15,false,light_rain,gridlock,4.1,,3.7,27.8,false,market,on_time
87,17,sunday,casual_dining,indian,11.9,14,2370.0,1,false,hot,heavy,3.0,684.0,,31.0,false,college_area,on_time
88,14,sunday,fast_food,south_indian,8.2,90,1805.0,12,true,heavy_rain,heavy,4.0,3911.0,3.7,12.5,false,market,late
89,20,wednesday,cloud_kitchen,pizza_burger,4.7,59,1204.0,12,false,clear,heavy,2.3,3773.0,3.7,19.6,true,commercial,on_time
90,23,sunday,fine_dining,dessert,10.0,49,1065.0,2,false,clear,heavy,2.0,71.0,3.9,23.9,false,college_area,on_time
91,12,tuesday,fine_dining,south_indian,9.8,55,2582.0,3,true,hot,low,3.6,,,27.7,false,residential,late
92,8,tuesday,cloud_kitchen,chinese,3.5,60,,5,false,light_rain,gridlock,5.0,,4.3,12.1,false,commercial,late
93,14,tuesday,cafe,other,0.9,20,1785.0,12,true,hot,heavy,5.0,4818.0,2.7,,false,college_area,on_time
94,12,sunday,cloud_kitchen,pizza_burger,6.8,21,1621.0,5,false,fog,moderate,4.6,4398.0,3.7,5.0,false,college_area,on_time
95,0,saturday,fast_food,south_indian,8.8,22,2468.0,4,false,heavy_rain,heavy,,1372.0,4.9,35.2,true,college_area,on_time
96,6,tuesday,cafe,chinese,13.2,73,2273.0,14,false,humid,heavy,,1916.0,3.8,27.5,false,highway,on_time
97,8,thursday,casual_dining,pizza_burger,14.0,17,1260.0,10,true,clear,low,3.4,3806.0,3.2,15.8,false,college_area,on_time
98,23,friday,casual_dining,chinese,8.2,74,339.0,3,false,clear,moderate,3.0,4352.0,3.7,30.6,false,residential,on_time
99,0,monday,cloud_kitchen,indian,11.4,18,2328.0,9,true,fog,low,3.4,1548.0,3.5,11.5,true,residential,on_time
100,11,sunday,fast_food,biryani,6.9,11,588.0,1,false,clear,gridlock,2.7,3899.0,,23.1,true,market,late
101,7,saturday,casual_dining,chinese,11.3,87,147.0,6,false,fog,low,5.0,4456.0,4.2,24.4,false,market,on_time
102,23,friday,fine_dining,pizza_burger,3.5,22,2545.0,7,false,humid,moderate,4.2,3556.0,4.1,24.4,false,market,on_time
103,10,sunday,fast_food,indian,5.9,11,1777.0,10,false,humid,low,3.2,1214.0,2.9,,false,commercial,on_time
104,18,thursday,casual_dining,pizza_burger,9.7,77,2686.0,4,true,heavy_rain,heavy,3.7,2141.0,3.6,17.0,true,commercial,late
105,16,sunday,fine_dining,chinese,0.8,85,1505.0,10,false,humid,gridlock,3.7,861.0,3.4,23.3,true,residential,late
106,7,saturday,cafe,indian,11.0,57,2787.0,3,true,clear,heavy,4.8,990.0,2.7,14.7,false,commercial,on_time
107,2,saturday,casual_dining,indian,12.6,83,1126.0,8,true,light_rain,low,5.0,4580.0,2.9,24.7,false,college_area,late
108,2,tuesday,fast_food,other,6.3,12,2201.0,9,false,light_rain,heavy,4.6,2924.0,2.9,15.9,false,commercial,on_time
109,0,sunday,casual_dining,healthy,7.0,77,972.0,13,false,clear,heavy,4.3,1433.0,3.7,32.0,false,college_area,on_time
110,4,thursday,cloud_kitchen,chinese,12.8,15,102.0,1,true,clear,heavy,4.0,341.0,3.4,37.6,false,highway,late
111,9,tuesday,cafe,dessert,11.7,14,1201.0,15,false,humid,heavy,3.9,2378.0,,19.0,false,commercial,on_time
112,6,monday,casual_dining,biryani,4.7,12,2239.0,15,true,hot,moderate,3.9,1199.0,3.5,31.2,true,commercial,on_time
113,8,friday,fast_food,other,5.2,19,534.0,15,true,fog,low,3.9,1468.0,,19.9,false,commercial,on_time
114,6,friday,fast_food,italian,10.3,52,1563.0,15,true,clear,low,3.7,4297.0,3.9,12.6,false,market,on_time
115,8,saturday,fine_dining,pizza_burger,8.7,28,715.0,11,false,light_rain,gridlock,3.5,4839.0,4.3,17.7,false,residential,on_time
116,7,sunday,casual_dining,indian,2.9,23,315.0,12,false,humid,heavy,3.1,,3.6,22.9,true,residential,late
117,11,monday,cafe,italian,5.0,30,1890.0,10,false,fog,heavy,3.6,1292.0,4.7,5.0,false,residential,late
118,1,saturday,fast_food,other,13.5,52,2861.0,9,true,fog,gridlock,,4935.0,3.9,28.3,false,college_area,late
119,0,tuesday,cafe,biryani,10.5,37,1000.0,7,false,humid,gridlock,3.4,352.0,3.4,22.9,false,college_area,on_time
120,15,sunday,fine_dining,chinese,14.8,30,1783.0,1,false,heavy_rain,moderate,3.7,1302.0,3.8,32.0,false,college_area,late
121,22,saturday,cafe,indian,11.6,45,2865.0,7,false,heavy_rain,low,4.0,3640.0,3.0,28.1,false,highway,on_time
122,22,friday,fast_food,pizza_burger,,33,1986.0,5,false,clear,gridlock,4.0,3088.0,3.5,23.2,false,market,late
123,23,saturday,cafe,pizza_burger,3.6,63,2052.0,10,false,light_rain,gridlock,4.1,456.0,4.0,,false,residential,on_time
124,4,wednesday,cloud_kitchen,italian,11.7,47,618.0,13,false,hot,heavy,4.1,3251.0,4.1,37.2,true,college_area,on_time
125,2,thursday,casual_dining,other,0.8,26,1528.0,13,false,clear,gridlock,5.0,1158.0,3.5,43.7,false,residential,on_time
126,11,sunday,cloud_kitchen,indian,10.2,31,1164.0,7,false,heavy_rain,moderate,5.0,258.0,5.0,18.6,false,residential,on_time
127,7,thursday,cafe,chinese,7.3,54,1465.0,12,false,clear,low,,2110.0,3.6,32.4,false,market,on_time
128,21,wednesday,cloud_kitchen,other,5.5,83,2422.0,9,false,clear,moderate,4.4,482.0,2.7,14.9,false,residential,late
129,2,friday,cafe,italian,13.0,70,1435.0,8,true,light_rain,heavy,3.7,4731.0,4.4,16.1,false,highway,late
130,0,sunday,fast_food,chinese,12.9,20,281.0,6,false,clear,heavy,2.6,,4.1,18.1,true,college_area,on_time
131,2,wednesday,casual_dining,biryani,0.8,70,2726.0,2,false,humid,heavy,4.3,1397.0,3.8,28.8,false,residential,on_time
132,4,tuesday,fast_food,dessert,9.3,47,1680.0,8,true,clear,low,3.4,2627.0,3.4,11.3,true,highway,on_time
133,14,saturday,fine_dining,indian,5.8,75,2781.0,12,true,heavy_rain,moderate,3.3,648.0,3.9,37.5,true,college_area,late
134,13,sunday,cloud_kitchen,other,6.5,42,,14,false,clear,gridlock,3.4,1612.0,4.7,31.4,false,residential,late
135,2,monday,cafe,dessert,12.6,52,,4,false,clear,low,3.3,3826.0,3.8,28.6,false,residential,on_time
136,0,tuesday,casual_dining,indian,5.0,40,1703.0,8,true,light_rain,heavy,,4589.0,2.8,19.1,false,commercial,on_time
137,4,tuesday,fast_food,pizza_burger,14.2,44,1769.0,15,true,humid,heavy,3.0,4587.0,1.6,30.3,false,residential,late
138,22,wednesday,cloud_kitchen,italian,3.1,46,721.0,7,false,light_rain,heavy,3.7,2269.0,3.9,5.0,true,highway,on_time
139,13,thursday,casual_dining,south_indian,10.1,56,1465.0,4,true,hot,gridlock,2.6,3885.0,3.1,26.4,false,highway,on_time
140,6,saturday,fast_food,dessert,10.2,32,1432.0,8,true,clear,moderate,3.3,2755.0,3.6,23.6,true,market,late
141,8,saturday,cafe,other,4.2,45,,11,false,clear,heavy,2.9,4983.0,3.2,5.0,true,residential,late
142,14,friday,fast_food,indian,5.2,49,,11,false,hot,low,4.2,3587.0,3.2,26.1,false,highway,on_time
143,14,wednesday,casual_dining,south_indian,,90,1787.0,12,true,heavy_rain,moderate,2.7,,3.2,27.9,true,market,late
144,9,sunday,casual_dining,south_indian,11.5,24,798.0,11,true,heavy_rain,moderate,,4590.0,3.3,5.0,false,residential,on_time
145,12,thursday,fast_food,italian,5.3,46,1394.0,2,false,clear,moderate,2.9,759.0,4.2,10.1,true,college_area,late
146,18,sunday,fine_dining,italian,8.2,13,455.0,9,true,clear,gridlock,3.1,633.0,4.0,42.6,false,commercial,on_time
147,6,saturday,fast_food,indian,1.4,31,207.0,6,false,light_rain,heavy,4.3,3585.0,3.0,20.1,false,market,on_time
148,16,tuesday,fast_food,pizza_burger,3.5,90,1029.0,7,true,humid,moderate,5.0,330.0,3.1,31.8,false,college_area,on_time
149,19,saturday,fast_food,south_indian,7.5,31,896.0,10,true,clear,low,3.5,3020.0,3.9,33.3,false,commercial,on_time
150,3,wednesday,cloud_kitchen,indian,1.7,90,1280.0,1,false,humid,moderate,4.2,10.0,4.3,,false,highway,on_time
151,4,saturday,casual_dining,dessert,12.7,87,2890.0,3,false,clear,heavy,3.1,4054.0,4.3,32.2,false,residential,on_time
152,22,monday,cafe,dessert,10.9,87,1614.0,14,true,heavy_rain,heavy,3.4,2175.0,3.1,5.0,false,residential,on_time
153,6,tuesday,fast_food,south_indian,14.2,26,1704.0,10,true,clear,moderate,3.7,985.0,4.3,19.7,false,highway,on_time
154,12,sunday,fast_food,chinese,10.6,81,2831.0,5,true,light_rain,low,3.2,669.0,2.6,5.0,true,college_area,late
155,14,tuesday,casual_dining,pizza_burger,14.1,89,2771.0,15,false,clear,moderate,4.6,2279.0,3.6,5.0,false,highway,on_time
156,10,sunday,cloud_kitchen,chinese,8.5,89,2664.0,12,false,clear,moderate,4.4,,4.0,16.5,false,market,on_time
157,3,wednesday,cloud_kitchen,chinese,9.2,47,383.0,7,false,humid,heavy,3.4,2926.0,2.5,15.3,true,residential,on_time
158,12,saturday,fast_food,pizza_burger,14.7,33,1939.0,1,false,hot,moderate,2.1,4021.0,5.0,22.4,false,college_area,on_time
159,6,saturday,casual_dining,indian,9.8,15,2443.0,9,true,hot,moderate,3.3,274.0,,21.8,false,college_area,late
160,18,friday,fine_dining,indian,0.9,77,2523.0,5,false,clear,moderate,4.7,4714.0,4.1,23.3,false,residential,on_time
161,21,wednesday,casual_dining,indian,11.0,15,1776.0,13,true,humid,heavy,3.7,1027.0,3.1,23.7,true,market,on_time
162,1,tuesday,cloud_kitchen,indian,13.6,35,150.0,12,true,light_rain,moderate,4.5,2374.0,3.7,25.3,false,residential,on_time
163,9,monday,fast_food,indian,12.0,50,2924.0,3,true,humid,heavy,5.0,4349.0,4.2,12.4,false,market,late
164,12,wednesday,fine_dining,other,9.0,84,1469.0,7,true,clear,heavy,4.2,,3.0,14.8,false,commercial,on_time
165,20,saturday,cloud_kitchen,chinese,10.2,47,1241.0,10,false,clear,heavy,4.6,3127.0,3.6,21.6,false,commercial,on_time
166,5,sunday,fine_dining,indian,14.9,89,1245.0,8,false,humid,low,3.4,2934.0,4.2,21.8,false,highway,on_time
167,11,sunday,cafe,chinese,,52,1329.0,10,false,light_rain,low,4.6,448.0,2.8,11.2,true,market,on_time
168,11,saturday,casual_dining,other,10.2,62,802.0,10,true,humid,moderate,3.7,3369.0,3.9,32.8,false,highway,late
169,19,saturday,fine_dining,biryani,4.6,24,1049.0,3,false,clear,low,3.3,3694.0,2.6,29.2,false,residential,on_time
170,10,saturday,fast_food,italian,9.8,65,2958.0,7,true,heavy_rain,moderate,5.0,3807.0,3.1,13.4,false,market,on_time
171,22,wednesday,casual_dining,healthy,9.3,65,1167.0,7,false,humid,low,3.8,4565.0,3.4,19.9,true,commercial,late
172,6,sunday,cloud_kitchen,italian,2.7,40,1627.0,4,true,fog,low,3.3,3997.0,4.0,42.1,false,highway,on_time
173,0,saturday,cloud_kitchen,italian,3.5,66,2560.0,10,true,hot,low,4.1,3318.0,3.3,23.6,false,commercial,late
174,0,friday,fine_dining,chinese,9.5,60,1629.0,9,false,clear,heavy,3.0,70.0,3.8,26.0,false,residential,on_time
175,19,monday,fast_food,italian,2.4,33,1040.0,1,false,clear,moderate,2.9,4577.0,3.3,15.9,true,residential,on_time
176,12,thursday,cloud_kitchen,chinese,4.3,67,1618.0,1,false,clear,low,3.7,2578.0,3.4,18.9,false,residential,on_time
177,8,thursday,cloud_kitchen,pizza_burger,12.6,82,430.0,5,true,light_rain,moderate,2.8,4586.0,4.5,37.1,false,residential,on_time
178,2,sunday,fast_food,chinese,5.2,13,476.0,13,true,hot,heavy,3.5,,,23.1,false,residential,on_time
179,6,friday,casual_dining,biryani,7.6,19,2113.0,3,true,light_rain,heavy,,3057.0,4.2,21.3,false,highway,late
180,5,thursday,fast_food,indian,14.1,72,2761.0,10,false,heavy_rain,low,4.5,117.0,3.7,22.1,false,college_area,on_time
181,7,sunday,casual_dining,indian,3.8,82,2204.0,13,false,hot,heavy,5.0,1814.0,3.4,47.5,false,residential,on_time
182,8,monday,fine_dining,south_indian,6.1,24,315.0,9,true,clear,moderate,2.8,904.0,3.0,22.4,true,highway,on_time
183,4,thursday,cafe,other,9.3,72,1268.0,5,false,humid,heavy,5.0,4524.0,3.0,13.7,false,residential,on_time
184,0,monday,cloud_kitchen,italian,,28,106.0,7,false,humid,heavy,4.3,494.0,3.3,15.4,false,highway,on_time
185,18,saturday,fine_dining,pizza_burger,13.6,72,1582.0,1,false,clear,heavy,4.0,3859.0,3.6,29.8,false,residential,late
186,9,sunday,casual_dining,chinese,13.8,65,659.0,2,true,clear,heavy,2.7,2684.0,4.1,7.7,false,residential,late
187,11,wednesday,cloud_kitchen,indian,11.8,30,2617.0,15,false,clear,low,2.7,4176.0,3.5,26.5,false,college_area,on_time
188,23,sunday,casual_dining,indian,3.8,43,402.0,11,true,hot,moderate,3.8,3731.0,3.6,14.8,true,highway,on_time
189,14,wednesday,cloud_kitchen,chinese,0.9,26,103.0,12,false,clear,low,3.7,4691.0,3.6,5.0,false,highway,late
190,21,sunday,fast_food,indian,6.1,27,1408.0,4,false,hot,gridlock,3.6,1541.0,4.0,12.2,false,market,on_time
191,23,saturday,fine_dining,indian,2.6,90,550.0,15,true,light_rain,moderate,3.8,626.0,,22.3,false,college_area,late
192,8,saturday,fast_food,pizza_burger,10.8,75,2240.0,9,true,hot,moderate,3.3,,2.9,36.0,false,highway,on_time
193,19,monday,casual_dining,indian,10.1,60,2768.0,5,true,hot,low,3.6,4859.0,3.5,31.1,false,highway,on_time
194,16,sunday,cloud_kitchen,biryani,1.1,74,221.0,5,false,humid,low,3.8,838.0,4.4,,true,residential,late
195,16,saturday,casual_dining,italian,12.6,52,1247.0,9,false,clear,heavy,5.0,2016.0,2.9,31.7,true,commercial,late
196,19,wednesday,cafe,south_indian,4.1,66,2991.0,8,true,clear,moderate,2.2,2016.0,3.7,18.4,false,highway,on_time
197,11,sunday,casual_dining,biryani,6.8,19,2224.0,2,false,clear,moderate,,3080.0,3.6,7.3,false,residential,on_time
198,6,wednesday,cloud_kitchen,chinese,10.2,46,2864.0,7,false,light_rain,low,3.9,72.0,3.4,22.2,false,college_area,on_time
199,1,sunday,fast_food,chinese,6.7,57,575.0,1,false,light_rain,heavy,3.8,3453.0,4.7,6.9,false,highway,late
200,2,monday,fast_food,pizza_burger,6.9,78,741.0,10,false,humid,low,4.1,4749.0,3.7,29.9,true,residential,on_time
201,16,saturday,fast_food,healthy,1.5,65,548.0,11,false,hot,moderate,5.0,3879.0,4.6,30.1,false,highway,on_time
202,4,friday,casual_dining,indian,6.3,85,976.0,11,false,clear,heavy,4.0,64.0,3.7,13.2,false,commercial,late
203,16,monday,fast_food,indian,11.6,45,2200.0,15,false,hot,moderate,2.8,30.0,4.0,23.5,false,college_area,late
204,23,wednesday,casual_dining,healthy,13.8,40,578.0,9,true,clear,low,4.1,3972.0,3.4,23.4,false,residential,on_time
205,16,monday,casual_dining,italian,6.5,64,1620.0,3,false,clear,heavy,3.7,4653.0,3.4,30.7,false,market,late
206,16,thursday,fast_food,biryani,6.6,47,,13,false,hot,moderate,3.4,2326.0,3.9,9.5,false,college_area,on_time
207,1,wednesday,cafe,italian,,82,2504.0,2,false,humid,low,3.9,4373.0,4.0,28.0,true,residential,on_time
208,1,friday,cloud_kitchen,indian,14.2,24,118.0,4,false,clear,heavy,3.7,4766.0,4.1,8.8,true,college_area,late
209,21,wednesday,fast_food,biryani,4.4,25,746.0,4,false,hot,low,3.6,2880.0,3.9,29.8,true,commercial,on_time
210,22,wednesday,cafe,biryani,6.9,86,1855.0,3,false,humid,moderate,3.7,2189.0,2.9,32.6,false,highway,on_time
211,4,saturday,cafe,chinese,12.0,62,380.0,2,true,clear,heavy,3.0,2782.0,3.2,15.3,false,commercial,late
212,0,monday,casual_dining,south_indian,9.3,65,1452.0,5,false,clear,gridlock,4.3,4122.0,4.2,34.2,false,commercial,on_time
213,0,sunday,cloud_kitchen,dessert,2.1,16,1364.0,4,false,hot,heavy,3.7,2146.0,2.5,6.3,false,residential,on_time
